GO	[-13.61 -0.47]	[-0.47 -0.31]	[-0.31 -0.20]	[-0.20 -0.12]	[-0.12 -0.04]	[-0.04 0.02]	[0.02 0.10]	[0.10 0.17]	[0.17 0.27]	[0.27 0.39]	[0.39 1.45]
GSE29949_MICROGLIA_BRAIN_VS_CD8_NEG_DC_SPLEEN_UP GSE29949_MICROGLIA_BRAIN_VS_CD8_NEG_DC_SPLEEN_UP	-0.751	0.302	0.302	-0.751	-0.751	-0.751	-0.751	-0.300	1.724	0.302	2.471
GSE25088_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_UP GSE25088_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_UP	-1.342	-0.366	0.244	-0.710	-1.342	0.796	0.479	1.194	-1.342	0.479	1.716
GSE39022_LN_VS_SPLEEN_DC_DN GSE39022_LN_VS_SPLEEN_DC_DN	1.291	0.456	0.197	-0.961	2.502	-0.961	-0.437	0.197	-0.961	-0.961	0.472
GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_DN GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_DN	-0.919	-0.919	0.489	0.489	0.489	-0.919	1.365	-0.919	-0.919	0.875	0.902
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP	2.210	0.479	0.244	-0.366	1.194	0.479	0.244	-1.342	-1.342	-0.366	-1.311
GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_DN GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_DN	1.139	-0.742	2.124	1.139	-1.384	-0.389	-0.389	-1.384	0.451	0.228	-0.718
GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY7_UP GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY7_UP	1.495	-0.583	-0.583	-0.583	-0.200	0.893	-0.583	-0.200	-0.583	2.226	-0.570
GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_DC_UP GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_DC_UP	0.272	-0.333	-0.333	0.272	-0.333	-0.333	-0.333	-0.333	-0.333	-0.333	4.965
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_24H_CD8_T_CELL_DN GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_24H_CD8_T_CELL_DN	1.530	0.718	-1.427	-1.427	0.425	0.718	-0.774	-0.411	1.530	-0.774	-0.394
GSE26023_PHD3_KO_VS_WT_NEUTROPHIL_HYPOXIA_DN GSE26023_PHD3_KO_VS_WT_NEUTROPHIL_HYPOXIA_DN	2.056	0.526	-0.381	1.445	-0.381	0.234	-0.877	-0.877	-0.877	-0.877	0.544
GSE6674_UNSTIM_VS_CPG_STIM_BCELL_UP GSE6674_UNSTIM_VS_CPG_STIM_BCELL_UP	0.165	-0.500	-0.500	-0.500	0.165	-0.500	4.618	-0.500	0.165	0.165	0.171
