GO	[-24.60 -0.85]	[-0.85 -0.54]	[-0.54 -0.35]	[-0.35 -0.20]	[-0.20 -0.06]	[-0.06 0.08]	[0.08 0.20]	[0.20 0.32]	[0.32 0.50]	[0.50 0.76]	[0.76 3.73]
GSE17721_LPS_VS_POLYIC_1H_BMDC_DN GSE17721_LPS_VS_POLYIC_1H_BMDC_DN	1.291	-0.437	0.823	-0.961	1.852	-0.961	-0.437	0.456	-0.961	-0.961	0.472
GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN	1.593	0.685	0.369	-0.242	0.685	-1.088	-1.088	-1.088	-1.088	-0.242	1.128
GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_KO_LIVER_UP GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_KO_LIVER_UP	0.234	-0.381	-0.877	-0.877	2.758	1.445	0.234	-0.877	-0.877	0.234	0.243
GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_PPARG_KO_TREG_CD4_TCELL_UP GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_PPARG_KO_TREG_CD4_TCELL_UP	0.727	-0.496	0.727	-0.496	-0.223	1.156	-0.496	-1.046	-1.046	2.277	-1.022
GSE27786_LSK_VS_LIN_NEG_CELL_DN GSE27786_LSK_VS_LIN_NEG_CELL_DN	-0.586	-1.173	-0.586	-1.173	0.322	0.983	1.445	-0.281	0.607	1.445	-1.145
GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN	0.425	-0.205	0.773	0.773	-1.004	-0.205	-1.004	-0.205	-1.004	-1.004	2.441
GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_48H_DN GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_48H_DN	-0.268	-0.906	1.747	-0.906	0.904	0.336	-0.906	0.904	-0.906	1.292	-1.560
GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP	0.983	0.607	-0.586	-1.173	-0.281	-1.173	2.603	-0.281	0.322	0.322	-1.145
GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP GSE3982_DC_VS_CENT_MEMORY_CD4_TCELL_UP	0.994	0.565	-0.835	0.254	-0.835	-0.353	-0.353	-0.835	0.254	-0.835	2.959
GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_DC_UP GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_DC_UP	0.272	-0.333	0.272	-0.333	-0.333	-0.333	-0.333	-0.333	-0.333	-0.333	4.965
GSE19888_CTRL_VS_A3R_INHIBITOR_TREATED_MAST_CELL_DN GSE19888_CTRL_VS_A3R_INHIBITOR_TREATED_MAST_CELL_DN	0.361	-0.249	-0.667	-0.249	-0.667	-0.667	-0.667	-0.667	2.720	0.361	1.327
GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN	-1.130	-0.261	1.517	0.345	-1.130	-0.261	0.345	0.345	2.078	-0.555	-1.104
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4MID_SORTED_BCELL_DN GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4MID_SORTED_BCELL_DN	1.495	-0.583	1.495	-0.583	-0.200	0.433	-0.583	-0.583	-0.583	-0.583	0.914
GSE360_CTRL_VS_L_MAJOR_DC_DN GSE360_CTRL_VS_L_MAJOR_DC_DN	0.433	-0.583	-0.583	2.226	-0.583	-0.583	-0.583	0.893	0.433	-0.583	0.445
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_DN GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_DN	3.264	-0.374	-0.374	0.711	-0.374	-0.374	-0.374	-0.374	0.238	-0.374	0.245
